canonical_smiles,pIC50
CN(C1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,8.481486060122112
CN(CC1CC2c3ccccc3Cc3ccccc3N2O1)C(=O)C(F)(F)F,6.0
CN(CC1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,8.356547323513812
CN(CCCN1CCC(CN2c3ccccc3Sc3ccc(C(=O)O)cc32)CC1)c1cc(=O)n(C)c(=O)n1C,7.275724130399211
CN(CCN1CCCCC1)C(=O)[C@H]1CC[C@@]2(CC1)OC(=O)c1ccccc12,5.0
CN(c1ccccc1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,7.094204119632131
CN1C2CCCC1CC(Nc1ccccc1Br)C2,6.6968039425795105
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,8.431798275933005
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,7.30043197182991
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,9.0
CN1CCC2C(C1)c1ccccc1N2/C=C/c1ccccc1,6.066900650743994
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,7.568636235841012
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,9.375717904164333
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,7.42021640338319
CN1CCN(C(c2ccccc2)c2nnnn2Cc2ccccc2)CC1,4.698970004336019
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,8.308741641866888
CN1CCN(C2=Nc3cc(F)ccc3Nc3ccc(F)cc32)CC1,9.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,7.619788758288394
CN1CCN2c3ccccc3Cc3ccccc3C2C1,8.646115813238325
CN1CCc2c(c3cc(-c4cccnc4)ccc3n2CCc2ccccn2)C1,5.145086977692145
CN1CCc2c(c3cc(Br)ccc3n2CCc2ccccn2)C1,6.920818753952375
CN1CCc2c(c3cc(C#N)ccc3n2CCc2ccccn2)C1,5.889410289700751
CN1CCc2c(c3cc(C(=O)O)ccc3n2CCc2ccncc2)C1,5.0
CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2ccccc2)C1,7.167491087293763
CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2ccccn2)C1,6.025207424336674
CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2cccnc2)C1,5.0
CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2ccncc2)C1,6.657577319177793
CN1CCc2c(c3cc(F)ccc3n2CCc2ccc(C(F)(F)F)cc2)C1,7.455931955649724
CN1CCc2c(c3cc(F)ccc3n2CCc2ccccc2)C1,7.140334356508136
CN1CCc2c(c3cc(F)ccc3n2CCc2ccccn2)C1,6.120771155694767
CN1CCc2c(c3cc(F)ccc3n2CCc2cccnc2)C1,6.109301847401604
CN1CCc2c(c3cc(F)ccc3n2CCc2ccncc2)C1,6.6243604480083285
CN1CCc2c(c3ccccc3n2/C=C\c2ccccc2)C1,7.111903742626463
CN1CCc2c(c3ccccc3n2CCc2ccccn2)C1,5.885722831730495
CN1CCc2c(c3ccccc3n2CCc2cccnc2)C1,6.693608071640132
CN1CCc2c(c3ccccc3n2CCc2ccncc2)C1,6.610924374808178
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,5.383734594718292
CN1[C@@H](CC(=O)c2ccccc2)CCC[C@H]1C[C@H](O)c1ccccc1,4.349999992368662
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,8.497163361378997
CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2ccccc2)c1=O,4.600000074606178
CNC(=O)c1cc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)ccc1F,6.012333735073725
CNC(=O)c1cc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)ccn1,5.354577730650908
CNC(=O)c1cc(OCCCCN2CCN(c3cccc4sccc34)CC2)ccn1,6.3788237182249645
CNC(=O)c1cc(OCCCCN2CCN(c3nsc4ccccc34)CC2)ccn1,6.0347982989740885
CNC(=O)c1cccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,5.59176003468815
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,5.7459355470856615
CNCC1CC2c3ccccc3Cc3ccccc3N2O1,7.969805214643249
CNCCC=C1c2ccccc2CCc2ccccc21,7.301029995663981
CNCCCC12CCC(c3ccccc31)c1ccccc12,8.055912320584566
CN[C@@H]1CCN(c2nc(N)nc3c2oc2ccc(Cl)cc23)C1,4.522878745280337
COC(=O)C(C)(C)c1cnnn1CCN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,7.1743791749965
COC(=O)COCCN1CCC(c2nc3ccccc3n2CCOc2ccccc2)CC1,6.709965388637482
COC(=O)c1ccc(Cn2c(C(=O)C3CCN(CCC4(c5ccc(OC)c(OC)c5)CCN(C(=O)c5cc(OC)c(OC)c(OC)c5)C4)CC3)nc3ccccc32)cc1,8.220403508742175
COC(=O)c1ccc(Cn2c(C(=O)C3CCN(CCC4(c5ccccc5)CCN(C(=O)c5cc(OC)c(OC)c(OC)c5)C4)CC3)nc3ccccc32)cc1,7.072079968159644
COC(=O)c1ccccc1OCCCCn1c(C(=O)C2CCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21,8.221848749616356
COC(=O)c1ccccc1OCCCn1c(C(=O)C2CCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21,6.002613615602687
